Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	Player	Pos	NFLTeam
8	64	8	Promille Boords	Julian	1	Green Bay Packers	DEF	GB
9	65	1	Promille Boords	Julian	1	Kelvin Benjamin	WR	CAR
9	66	2	WhoDatNation	Marvin	2	C.J. Spiller	RB	NO
9	67	3	Fetti EV	Benjamin	3	Dwayne Allen	TE	IND
9	68	4	colin's edelmaenner	Tommy	4	Julian Edelman	WR	NE
9	69	5	Kessinho10	marco	5	Brandon LaFell	WR	NE
9	70	6	Amari and Dorial GmbH	Simon	6	Adam Vinatieri	K	IND
9	71	7	Die Punter	Matthias	7	Jeremy Maclin	WR	KC
9	72	8	oG United	Erik	8	Philadelphia Eagles	DEF	PHI
10	73	1	oG United	Erik	8	Mike Evans	WR	TB
10	74	2	Die Punter	Matthias	7	Jonathan Stewart	RB	CAR
10	75	3	Amari and Dorial GmbH	Simon	6	Matt Ryan	QB	ATL
10	76	4	Kessinho10	marco	5	Miami Dolphins	DEF	MIA
10	77	5	colin's edelmaenner	Tommy	4	Carlos Hyde	RB	SF
10	78	6	Fetti EV	Benjamin	3	St. Louis Rams	DEF	STL
10	79	7	WhoDatNation	Marvin	2	Arizona Cardinals	DEF	ARI
10	80	8	Promille Boords	Julian	1	Torrey Smith	WR	SF
11	81	1	Promille Boords	Julian	1	Chris Ivory	RB	NYJ
11	82	2	WhoDatNation	Marvin	2	Cam Newton	QB	CAR
11	83	3	Fetti EV	Benjamin	3	Isaiah Crowell	RB	CLE
11	84	4	colin's edelmaenner	Tommy	4	Pierre Garcon	WR	WAS
11	85	5	Kessinho10	marco	5	Tom Brady	QB	NE
11	86	6	Amari and Dorial GmbH	Simon	6	Latavius Murray	RB	LV
11	87	7	Die Punter	Matthias	7	Andre Johnson	WR	IND
11	88	8	oG United	Erik	8	Philip Rivers	QB	LAC
12	89	1	oG United	Erik	8	Giovani Bernard	RB	CIN
12	90	2	Die Punter	Matthias	7	Mason Crosby	K	GB
12	91	3	Amari and Dorial GmbH	Simon	6	Cody Parkey	K	PHI
12	92	4	Kessinho10	marco	5	Kevin White	WR	CHI
12	93	5	colin's edelmaenner	Tommy	4	Steven Hauschka	K	SEA
12	94	6	Fetti EV	Benjamin	3	Matthew Stafford	QB	DET
12	95	7	WhoDatNation	Marvin	2	Dan Bailey	K	DAL
12	96	8	Promille Boords	Julian	1	Ryan Mathews	RB	PHI
13	97	1	Promille Boords	Julian	1	Steve Smith	WR	BAL
13	98	2	WhoDatNation	Marvin	2	Charles Johnson	WR	MIN
13	99	3	Fetti EV	Benjamin	3	Delanie Walker	TE	TEN
13	100	4	colin's edelmaenner	Tommy	4	Marcus Mariota	QB	TEN
13	101	5	Kessinho10	marco	5	Matt Bryant	K	ATL
13	102	6	Amari and Dorial GmbH	Simon	6	Zach Ertz	TE	PHI
13	103	7	Die Punter	Matthias	7	Golden Tate	WR	DET
13	104	8	oG United	Erik	8	Baltimore Ravens	DEF	BAL
14	105	1	oG United	Erik	8	Jordan Cameron	TE	MIA
14	106	2	Die Punter	Matthias	7	Colin Kaepernick	QB	SF
14	107	3	Amari and Dorial GmbH	Simon	6	New England Patriots	DEF	NE
14	108	4	Kessinho10	marco	5	Indianapolis Colts	DEF	IND
14	109	5	colin's edelmaenner	Tommy	4	San Francisco 49ers	DEF	SF
14	110	6	Fetti EV	Benjamin	3	Keenan Allen	WR	LAC
14	111	7	WhoDatNation	Marvin	2	Brandon Marshall	WR	NYJ
14	112	8	Promille Boords	Julian	1	Vernon Davis	TE	DEN
15	113	1	Promille Boords	Julian	1	Randy Bullock	K	NYJ
15	114	2	WhoDatNation	Marvin	2	New Orleans Saints	DEF	NO
15	115	3	Fetti EV	Benjamin	3	Justin Tucker	K	BAL
15	116	4	colin's edelmaenner	Tommy	4	T.J. Yeldon	RB	JAC
15	117	5	Kessinho10	marco	5	Todd Gurley	RB	STL
15	118	6	Amari and Dorial GmbH	Simon	6	Joseph Randle	RB	-
15	119	7	Die Punter	Matthias	7	Andre Williams	RB	NYG
15	120	8	oG United	Erik	8	Breshad Perriman	WR	BAL
