Round,Overall,PickInRound,TeamName,ManagerName,OriginalSlot,Player,Pos,NFLTeam
1,1,1,Straight Outta Rehab,Benjamin,1,David Johnson,RB,ARI
| 12 | 90 | 2 | Promille Boords | Julian | 7 | Willie Snead | WR | NO |
| 12 | 91 | 3 | Los Kaltschalenzentrieros | Matthias | 6 | Ameer Abdullah | RB | DET |
| 12 | 92 | 4 | Snatchville Lubricators | marco | 5 | Justin Tucker | K | BAL |
| 12 | 93 | 5 | WhoDatNation | Marvin | 4 | Corey Davis | WR | TEN |
| 12 | 94 | 6 | Every day im Russelln | Simon | 3 | Brandon Marshall | WR | NYG |
| 12 | 95 | 7 | oGucci United | Erik | 2 | Jamison Crowder | WR | WAS |
| 12 | 96 | 8 | Straight Outta Rehab | Benjamin | 1 | Adrian Peterson | RB | ARI |
| 13 | 97 | 1 | Straight Outta Rehab | Benjamin | 1 | New York Giants | DEF | NYG |
| 13 | 98 | 2 | oGucci United | Erik | 2 | Stephen Gostkowski | K | NE |
| 13 | 99 | 3 | Every day im Russelln | Simon | 3 | Matt Bryant | K | ATL |
| 13 | 100 | 4 | oGucci United | Erik | 2 | Derrick Henry | RB | TEN |
| 13 | 101 | 5 | Snatchville Lubricators | marco | 5 | Tyrell Williams | WR | LAC |
| 13 | 102 | 6 | Los Kaltschalenzentrieros | Matthias | 6 | Pierre Garcon | WR | SF |
| 13 | 103 | 7 | Promille Boords | Julian | 7 | Jonathan Stewart | RB | CAR |
| 13 | 104 | 8 | knockin on Evans door | Tommy | 8 | Mason Crosby | K | GB |
| 14 | 105 | 1 | knockin on Evans door | Tommy | 8 | Derek Carr | QB | LV |
| 14 | 106 | 2 | Promille Boords | Julian | 7 | Atlanta Falcons | DEF | ATL |
| 14 | 107 | 3 | Los Kaltschalenzentrieros | Matthias | 6 | Eric Decker | WR | TEN |
| 14 | 108 | 4 | Snatchville Lubricators | marco | 5 | Martellus Bennett | TE | NE |
| 14 | 109 | 5 | WhoDatNation | Marvin | 4 | Wil Lutz | K | NO |
| 14 | 110 | 6 | Every day im Russelln | Simon | 3 | Kenny Britt | WR | NE |
| 14 | 111 | 7 | oGucci United | Erik | 2 | Cameron Meredith | WR | CHI |
| 14 | 112 | 8 | Straight Outta Rehab | Benjamin | 1 | Dan Bailey | K | DAL |
| 15 | 113 | 1 | Straight Outta Rehab | Benjamin | 1 | Jeremy Maclin | WR | BAL |
| 15 | 114 | 2 | oGucci United | Erik | 2 | Cam Newton | QB | CAR |
| 15 | 115 | 3 | Every day im Russelln | Simon | 3 | Kareem Hunt | RB | KC |
| 15 | 116 | 4 | WhoDatNation | Marvin | 4 | David Njoku | TE | CLE |
| 15 | 117 | 5 | Snatchville Lubricators | marco | 5 | James White | RB | NE |
| 15 | 118 | 6 | Los Kaltschalenzentrieros | Matthias | 6 | New England Patriots | DEF | NE |
| 15 | 119 | 7 | Promille Boords | Julian | 7 | Brandon McManus | K | DEN |
| 15 | 120 | 8 | knockin on Evans door | Tommy | 8 | Indianapolis Colts | DEF | IND |
